Period,kWh,Scenario,Emission Factor Low,Emission Factor (DEFRA/BEIS 2024),Emission Factor High,Total Emissions LowEF,Total Emissions AvgEF,Total Emissions HighEF
2025-01,166,Baseline,0.18,0.233,0.28,29.88,38.678,46.48
2025-01,166,Renewables,0,0,0,0,0,0
2025-01,166,50% Solar,0.09,0.1165,0.14,14.94,19.339,23.24
2025-02,192,Baseline,0.18,0.233,0.28,34.56,44.736,53.76
2025-02,192,Renewables,0,0,0,0,0,0
2025-02,192,50% Solar,0.09,0.1165,0.14,17.28,22.368,26.88
2025-03,86,Baseline,0.18,0.233,0.28,15.48,20.038,24.08
2025-03,86,Renewables,0,0,0,0,0,0
2025-03,86,50% Solar,0.09,0.1165,0.14,7.74,10.019,12.04
2025-04,175,Baseline,0.18,0.233,0.28,31.5,40.775,49
2025-04,175,Renewables,0,0,0,0,0,0
2025-04,175,50% Solar,0.09,0.1165,0.14,15.75,20.3875,24.5
2025-05,180,Baseline,0.18,0.233,0.28,32.4,41.94,50.4
2025-05,180,Renewables,0,0,0,0,0,0
2025-05,180,50% Solar,0.09,0.1165,0.14,16.2,20.97,25.2
2025-06,125,Baseline,0.18,0.233,0.28,22.5,29.125,35
2025-06,125,Renewables,0,0,0,0,0,0
2025-06,125,50% Solar,0.09,0.1165,0.14,11.25,14.5625,17.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
